DateTime,temp_c_ple,humidity_ple,pressure_ple,pm1_0a,pm2_5a,pm10_0a,pm1_0b,pm2_5b,pm10_0b,temp_c_keg,humidity_keg,pressure_keg,pm1_0k,pm2_5k,pm10_0k
2024-05-29 15:30:00,31.67,54.0,982.06,17.0,26.23,28.23,15.66,23.31,24.24,32.56,54.42,98211.41,16.24,23.64,24.9
2024-05-29 15:32:00,32.22,53.0,981.99,15.81,24.0,25.08,14.87,21.98,22.38,32.95,52.18,98209.5,15.54,22.68,23.88
2024-05-29 15:34:00,32.78,51.0,982.08,14.93,22.78,24.49,14.23,21.02,21.75,33.37,51.9,98209.66,14.66,21.68,22.66
2024-05-29 15:36:00,33.33,49.0,982.0,15.16,23.04,24.67,14.16,21.61,22.4,33.79,50.6,98209.24,13.79,19.91,20.98
2024-05-29 15:38:00,33.89,47.0,982.03,14.7,21.84,22.64,14.03,21.4,21.62,34.15,49.28,98207.69,13.35,20.05,20.71
2024-05-29 15:40:00,33.89,46.0,982.0,13.62,20.34,22.41,12.84,19.93,20.42,34.4,47.22,98206.99,13.31,19.9,21.06
2024-05-29 15:42:00,34.44,44.0,981.97,13.0,19.42,21.71,12.91,18.38,18.73,34.61,46.73,98206.78,12.88,18.49,19.1
2024-05-29 15:44:00,34.44,43.0,981.99,13.37,21.09,22.65,12.29,19.11,19.55,34.74,45.76,98207.7,13.5,19.39,19.52
2024-05-29 15:46:00,35.0,42.0,981.98,14.04,22.36,24.29,14.21,20.22,20.83,34.84,46.12,98208.96,13.69,20.08,20.39
2024-05-29 15:48:00,35.56,42.0,981.96,14.33,21.16,22.81,12.74,19.58,19.93,34.98,46.24,98208.65,14.12,20.2,21.02
2024-05-29 15:50:00,35.56,41.0,981.93,13.57,20.71,20.79,12.28,18.02,18.24,35.12,44.59,98203.33,13.9,18.94,19.44
2024-05-29 15:52:00,35.56,40.0,981.83,12.91,20.84,21.65,12.16,17.82,18.0,35.25,44.53,98199.26,13.16,19.14,19.77
2024-05-29 15:54:00,36.11,39.0,981.84,13.24,17.84,19.73,12.68,19.39,19.52,35.31,43.89,98195.78,12.19,17.7,17.99
