DateTime,temp_f,humidity,pressure,pm1_0a,pm2_5a,pm10_0a,pm1_0b,pm2_5b,pm10_0b
2024-05-29 15:30:00,89.0,54.0,982.06,17.0,26.23,28.23,15.66,23.31,24.24
2024-05-29 15:32:00,90.0,53.0,981.99,15.81,24.0,25.08,14.87,21.98,22.38
2024-05-29 15:34:00,91.0,51.0,982.08,14.93,22.78,24.49,14.23,21.02,21.75
2024-05-29 15:36:00,92.0,49.0,982.0,15.16,23.04,24.67,14.16,21.61,22.4
2024-05-29 15:38:00,93.0,47.0,982.03,14.7,21.84,22.64,14.03,21.4,21.62
2024-05-29 15:40:00,93.0,46.0,982.0,13.62,20.34,22.41,12.84,19.93,20.42
2024-05-29 15:42:00,94.0,44.0,981.97,13.0,19.42,21.71,12.91,18.38,18.73
2024-05-29 15:44:00,94.0,43.0,981.99,13.37,21.09,22.65,12.29,19.11,19.55
2024-05-29 15:46:00,95.0,42.0,981.98,14.04,22.36,24.29,14.21,20.22,20.83
2024-05-29 15:48:00,96.0,42.0,981.96,14.33,21.16,22.81,12.74,19.58,19.93
2024-05-29 15:50:00,96.0,41.0,981.93,13.57,20.71,20.79,12.28,18.02,18.24
2024-05-29 15:52:00,96.0,40.0,981.83,12.91,20.84,21.65,12.16,17.82,18.0
2024-05-29 15:54:00,97.0,39.0,981.84,13.24,17.84,19.73,12.68,19.39,19.52
2024-05-29 15:56:00,97.0,39.0,981.86,13.7,20.04,21.05,11.6,16.86,17.1
2024-05-29 15:58:00,97.0,38.0,981.78,13.12,18.98,19.73,11.87,17.18,17.98
2024-05-29 16:00:00,98.0,38.0,981.77,12.4,19.35,20.74,12.25,16.89,17.2
2024-05-29 16:02:00,98.0,40.0,981.8,14.44,20.82,22.16,13.73,19.66,19.88
2024-05-29 16:04:00,98.0,37.0,981.77,14.43,20.55,21.62,13.0,18.66,18.95
2024-05-29 16:06:00,98.0,40.0,981.8,14.23,21.83,22.08,14.07,20.65,21.51
2024-05-29 16:08:00,98.0,41.0,981.83,17.39,24.79,25.96,16.7,22.52,23.27
2024-05-29 16:10:00,98.0,38.0,981.84,17.31,25.22,26.79,15.74,22.88,23.42
2024-05-29 16:12:00,98.0,38.0,981.75,16.91,26.47,28.38,15.34,22.09,22.46
2024-05-29 16:14:00,99.0,37.0,981.77,15.86,22.74,24.67,14.33,20.42,20.98
2024-05-29 16:16:00,99.0,40.0,981.75,15.38,23.15,24.27,14.54,21.23,21.93
2024-05-29 16:18:00,99.0,37.0,981.75,15.53,23.0,23.88,13.86,19.54,20.09
2024-05-29 16:20:00,99.0,36.0,981.76,14.96,22.85,23.5,14.68,20.36,20.8
2024-05-29 16:22:00,99.0,36.0,981.79,14.7,22.16,23.04,14.54,20.3,20.4
2024-05-29 16:24:00,99.0,35.0,981.79,14.93,22.32,23.15,13.04,18.39,18.61
2024-05-29 16:26:00,99.0,36.0,981.85,15.12,22.38,24.16,13.93,19.74,20.28
2024-05-29 16:28:00,99.0,36.0,981.86,14.7,21.2,21.52,13.0,18.46,19.05
2024-05-29 16:30:00,99.0,36.0,981.82,14.25,20.45,22.1,13.37,19.81,20.46
2024-05-29 16:32:00,100.0,37.0,981.86,13.61,19.82,21.68,12.72,17.66,18.0
2024-05-29 16:34:00,100.0,35.0,981.87,14.37,19.46,20.6,13.19,18.8,19.29
2024-05-29 16:36:00,100.0,36.0,981.84,15.12,22.14,23.9,13.75,20.52,20.96
2024-05-29 16:38:00,100.0,35.0,981.87,14.73,22.42,23.08,13.64,19.22,19.62
2024-05-29 16:40:00,100.0,35.0,981.93,15.68,22.77,23.46,14.53,19.19,19.29
2024-05-29 16:42:00,100.0,38.0,981.93,14.85,23.33,24.55,14.9,21.2,21.68
2024-05-29 16:44:00,100.0,35.0,981.94,15.32,23.8,25.0,14.52,19.69,19.91
2024-05-29 16:46:00,100.0,38.0,981.97,15.53,23.68,24.92,15.12,21.64,22.09
2024-05-29 16:48:00,100.0,36.0,982.04,15.41,23.36,24.59,14.71,21.95,22.36
2024-05-29 16:50:00,100.0,35.0,982.05,15.55,23.11,24.59,15.55,21.79,22.12
2024-05-29 16:52:00,100.0,35.0,982.01,16.58,24.93,26.93,14.39,20.07,20.42
2024-05-29 16:54:00,100.0,35.0,982.0,17.03,25.52,26.91,16.38,23.43,23.87
2024-05-29 16:56:00,99.0,37.0,982.06,18.05,25.26,26.89,16.38,22.47,23.22
2024-05-29 16:58:00,99.0,39.0,981.98,18.28,26.35,27.88,17.49,24.54,25.05
2024-05-29 17:00:00,99.0,38.0,981.97,18.71,28.23,29.27,17.67,26.14,26.53
2024-05-29 17:02:00,99.0,36.0,981.95,26.63,40.81,42.35,26.07,41.31,42.65
2024-05-29 17:04:00,99.0,36.0,981.98,25.6,40.12,42.63,22.28,35.02,35.89
2024-05-29 17:06:00,99.0,37.0,982.0,33.42,54.42,58.6,29.3,49.91,50.79
2024-05-29 17:08:00,99.0,39.0,981.98,40.11,67.79,72.0,36.75,60.85,63.15
2024-05-29 17:10:00,99.0,37.0,981.96,31.34,50.93,53.7,29.09,47.41,48.64
2024-05-29 17:12:00,99.0,39.0,981.97,29.04,47.75,49.86,27.26,43.43,45.47
2024-05-29 17:14:00,99.0,37.0,982.01,25.14,40.6,43.25,23.6,37.02,38.31
2024-05-29 17:16:00,99.0,37.0,982.0,22.93,36.46,37.55,21.09,32.54,33.58
2024-05-29 17:18:00,98.0,36.0,982.02,22.0,34.25,34.7,20.55,31.64,32.55
2024-05-29 17:20:00,98.0,39.0,982.03,20.44,33.2,34.17,19.23,30.0,30.43
2024-05-29 17:22:00,98.0,37.0,982.04,19.75,30.73,33.96,17.98,27.45,27.71
2024-05-29 17:24:00,98.0,38.0,982.06,19.68,30.29,32.48,17.93,25.47,25.91
2024-05-29 17:26:00,98.0,40.0,982.05,19.36,28.79,30.67,18.5,28.64,28.86
2024-05-29 17:28:00,98.0,38.0,981.99,20.86,31.02,33.57,19.71,30.15,30.78
2024-05-29 17:30:00,98.0,37.0,982.08,22.39,33.64,35.37,19.77,31.49,32.25
2024-05-29 17:32:00,98.0,40.0,982.09,22.7,36.43,38.61,20.21,30.76,31.64
2024-05-29 17:34:00,98.0,39.0,982.12,22.07,34.59,36.02,19.69,29.81,30.45
2024-05-29 17:36:00,98.0,39.0,982.07,20.91,31.03,32.55,20.54,29.89,31.0
2024-05-29 17:38:00,98.0,41.0,982.07,21.44,33.32,34.54,20.02,29.45,30.16
